作品名称,slug,年份／媒介,女女关系位置,女女恋爱位置,女女关系最高明确度,明确女女交往,明确女女欲望,接受未确认方向,女女关系主线,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标签比例
少女乐队的呐喊,girls_band_cry_tv_2024,2024 TV,主线,主线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,副线,校园霸凌与校方淡化、家庭冲突与离家、激烈争执及肢体冲突、酒精、职场种族歧视、丧亲与被父母遗弃、职业及财务压力。,有精确条目,661,0.05447726405899055
灰羽联盟,haibane_renmei_tv_2002,2002 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,死亡与离别、创伤记忆、血与身体疼痛、疑似自杀及自伤意象、儿童／少女受险、嫉妒与操控性坦白、宗教与赎罪意象,有精确条目,663,0.02593346911065852
RWBY Volume 1-3: The Beginning,rwby_volume_1_3_the_beginning_tv_2017,2017 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,HTML 元数据、可见宣传,并行,幻想枪械与近战暴力、角色死亡与肢体创伤、对 Faunus 的歧视、心理操控与嫁祸、前男性盟友的胁迫占有和暴力,有精确条目,673,0.03308090872857712
向阳素描×365 特别篇,hidamari_sketch_x365_special_ova_2009,2009 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,自行车练习与楼梯险情、针线和衣物破损、未成年角色胸罩带笑料、教师要求学生脱下待修衣物的越界式喜剧,有精确条目,679,0.08437240232751454
来玩游戏吧,asobi_asobase_tv_2018,2018 TV,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,副线,高频肢体暴力与羞辱式搞笑、欺骗和胁迫、涉及未成年人的身体／生殖器／性知识笑话、窥视裙底企图、围绕身体与性别的猜测及带偏见玩笑、排泄物与体液笑料,有精确条目,682,0.024156916724019272
宝石之国,houseki_no_kuni_tv_2017,2017 TV,主线,未知,未知,否,否,否,是,所核未见,所核未见,—,—,无,战斗与绑架、身体碎裂／肢解及重组、身体替换与记忆缺失、求死／自我消失语言、创伤与噩梦、背叛及胁迫交易。,有精确条目,687,0.014727540500736377
请问您今天要来点兔子吗？BLOOM,gochuumon_wa_usagi_desu_ka_bloom_tv_2020,2020 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,校园与升学压力、离别焦虑、咖啡因反应与轻度身体喜剧。,有精确条目,695,0.10005254071905727
向阳素描×☆☆☆ 特别篇,hidamari_sketch_hoshimittsu_special_ova_2010,2010 OVA,主线,局部,明显但未确认,否,否,是,是,所核未见,所核未见,相邻版本、范围内版本,出版渠道、故事／角色页、可见宣传,无,入学日受阻、返乡、轻度嫉妒、烧烤烟雾误会,有精确条目,696,0.07847744360902256
向山进发 第二季,yama_no_susume_second_season_tv_2014,2014 TV,主线,重要副线,明显但未确认,否,否,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,无,登山与天气风险、高原反应、恐高焦虑、朋友争吵、裙子恶作剧、温泉／泳装场面,有精确条目,707,0.1212404065546567
别当欧尼酱了！,onii_chan_wa_oshimai_tv_2023,2023 TV,重要副线,未知,未知,否,否,否,否,所核未见,所核未见,—,—,无,未经事先同意用药并改变身体、青春期身体与如厕喜剧、未成年人身体的性化表现、成年意识处于中学生身体、性别刻板印象。,有精确条目,721,0.08140186688113865
魔法少女奈叶 The MOVIE 1st,mahou_shoujo_lyrical_nanoha_movie_1st_2010,2010 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,儿童卷入魔法战斗、重伤与灾害、亲子控制与创伤、丧亲、替代身份、使魔契约和保护性用语可能被误读为恋爱,有精确条目,736,0.07982875849911861
某科学的超电磁炮T,toaru_kagaku_no_railgun_t_tv_2020,2020 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,未知,未成年角色受伤、组织阴谋、人体／机械实验、战斗威胁，以及黑子对美琴含身体接近意味的喜剧式追求。,有精确条目,750,0.034053331457116726
向山进发 回忆的礼物,yama_no_susume_omoide_present_ova_2018,2018 OVA,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,副线,亲子失约、童年走失与分离、纪念物遗失、歉疚。,有精确条目,755,0.10865800865800866
小魔女学园,little_witch_academia_movie_2013,2013 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、可见宣传,无,校园嘲弄、地牢怪物、古龙危机和幻想战斗。,有精确条目,757,0.01275352050305553
女高中生的无所事事,joshikousei_no_mudazukai_tv_2019,2019 TV,主线,局部,明确欲望,否,是,是,是,所核未见,所核未见,—,—,副线,未成年角色之间的性化身体笑话与隔衣触摸、未经同意的摸胸／摸臀及脱衣起哄、男性过敏与性别错认笑料、成人教师与未成年学生的单向迷恋、成人教师关于高中生／大学生的性与交往笑话、跟踪式观察、羞辱和肢体闹剧、排泄物／体液／死亡意象笑料,有精确条目,761,0.023134267887529373
某科学的超电磁炮S,toaru_kagaku_no_railgun_s_tv_2013,2013 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,副线,人体实验、克隆体死亡、恐怖袭击与受伤；黑子对美琴的越界式性追求和身体笑料；未成年角色受害。,有精确条目,778,0.05106885101945611
西蒙,simoun_tv_2006,2006 TV,主线,主线,明确欲望,否,是,是,是,是,是,范围内版本,访谈／评论,副线,战争与死亡、青少年被军事与宗教机构利用、被迫作出性别选择、悲伤与幸存者负担、未经同意的亲吻／亲密边界侵犯、姐妹关系中的性意味、年龄差与指导关系中的权力不对称。,有精确条目,786,0.13662171753016322
食灵-零-,ga_rei_zero_tv_2008,2008 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,血腥战斗、死亡、严重身体伤害、精神操纵、家庭与继承压力、未成年人参与高风险除灵。,有精确条目,789,0.1174924924924925
明日同学的水手服,akebi_chan_no_sailor_fuku_tv_2022,2022 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,初中女生身体与服装的摄影／舞台凝视、意外露出笑话、共同淋浴与互相冲洗、戏谑脱衣、身体自卑、轻微运动碰撞。,有精确条目,793,0.09012718932443703
青兰圆舞曲,oniisama_e_tv_1991,1991 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页,并行,校园排斥与欺凌、占有和控制、自伤、相约自杀、死亡、药物依赖与烟草、持刀伤人、绝症、亲属间越界依恋。,有精确条目,795,0.12016129032258065
向阳素描×SP,hidamari_sketch_x_sp_ova_2011,2011 OVA,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,校园日常、泳池活动、共同留宿与家务喜剧。,有精确条目,806,0.07330827067669173
红白黑黄 第二季,rwby_volume_2_web_2014,2014 WEB,主线,重要副线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,并行,战斗、怪物袭击、爆炸、Faunus 歧视、犯罪组织、男性单恋和求舞、反派胁迫与列车灾难。,有精确条目,809,0.03278688524590164
小林家的龙女仆S,kobayashi_san_chi_no_maid_dragon_s_tv_2021,2021 TV,主线,主线,明确欲望,否,是,是,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,单方面婚礼笑料、儿童角色的喜欢与结婚语言、露科亚—翔太支线的性化诱惑与抵触、龙族暴力。,有精确条目,816,0.0602936978654572
向阳素描,hidamari_sketch_tv_2007,2007 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,无,教师服装与身体笑话、集体入浴、体重与节食笑话、轻微内衣／泳装笑话、疾病照护、客座角色对男性的单相思。,有精确条目,820,0.0752059925093633
大室家 亲爱的姐妹们,ohmuro_ke_dear_sisters_movie_2024,2024 剧场动画,主线,重要副线,明确交往,是,是,是,是,是,是,企划、范围内版本、原作,访谈／评论、出版渠道、故事／角色页、可见宣传,无,姐妹争吵、校园竞争、恋人身份谜题与未成年角色的喜剧化身体笑料。,有精确条目,834,0.13704918032786886
某科学的超电磁炮,toaru_kagaku_no_railgun_tv_2009,2009 TV,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,—,—,副线,未获同意的性追求与亲吻尝试、疑似下药企图、窃取贴身衣物、反复掀裙与内衣笑料、未成年角色的泳装和身体性笑料、肢体惩罚、暴力与爆炸、昏迷、儿童人体实验及生命危险。,有精确条目,837,0.06072122286969006
小魔女学园 魔法游行,little_witch_academia_movie_2015,2015 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,HTML 元数据、故事／角色页、可见宣传,未知,魔女受迫害历史再现、校园惩罚和嘲弄、同伴争吵与绝交措辞、巨人出现与魔法危机。,有精确条目,838,0.021580102414045354
歌剧少女!!,kageki_shoujo_tv_2021,2021 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,—,—,副线,儿童时期遭成年男性性侵害与强迫亲吻、监护人忽视并否定求助、跟踪与越界粉丝、饮食障碍及催吐、体重羞辱和身体凝视、严苛竞争压力。,有精确条目,843,0.04775499610692967
少女☆歌剧 Revue Starlight RONDO·RONDO·RONDO,shoujo_kageki_revue_starlight_rondo_rondo_rondo_movie_2020,2020 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,舞台竞争、象征性武器战斗、失去闪耀、强制分离与反复演出,有精确条目,865,0.06429124709527498
天才麻将少女,saki_tv_2009,2009 TV,主线,主线,明显但未确认,否,否,是,是,是,所核未见,范围内版本,HTML 元数据,副线,性化评论、洗浴换衣喜剧、家庭分离与竞赛威胁。,有精确条目,868,0.1305908154449392
摇曳百合、,yuru_yuri_comma_ova_2019,2019 OVA,主线,重要副线,明确欲望,否,是,是,是,所核未见,所核未见,范围内版本、原作,出版渠道、故事／角色页、可见宣传,无,包含求婚式想象、亲吻拟声、相思病角色扮演、鼻血与身体话题笑料；这些内容不等于现实层双方交往。,有精确条目,871,0.104503926911364
摇曳百合 夏日时光！,yuru_yuri_nachuyachumi_ova_2015,2015 OVA,主线,重要副线,明显但未确认,否,否,是,是,是,所核未见,范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,无,中学生群像喜剧、角色妄想中的恋爱化想象、澡堂场景、夸张肢体笑料和整蛊。,有精确条目,881,0.11731391585760517
Love Live! 虹咲学园校园偶像同好会,love_live_nijigasaki_tv_2020,2020 TV,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,—,—,无,害怕分离、嫉妒和占有性语言；“没有对方就无法前进”的依赖表述；过劳与睡眠不足；泳装情节。,有精确条目,883,0.10941110845485696
赛马娘 Pretty Derby 新时代之门,uma_musume_pretty_derby_shin_jidai_no_tobira_movie_2024,2024 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,无,赛场伤病与退赛、过度训练、竞争压力、自我否定、不可见的朋友及心理困扰。,有精确条目,885,0.018283451729358333
特别篇 吹响吧！上低音号～合奏比赛～,hibike_euphonium_ensemble_contest_movie_2023,2023 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,社团分组与公开投票、前后辈压力、竞赛压力和第一顺位玩笑。,有精确条目,905,0.02416237113402062
大室家 亲爱的朋友们,ohmuro_ke_dear_friends_movie_2024,2024 剧场动画,主线,重要副线,明确交往,是,是,是,是,是,是,范围内版本、原作,访谈／评论、出版渠道、可见宣传,无,姐妹争吵、恋人身份谜题、朋友间情绪波动、校园喜剧。,有精确条目,918,0.1435041041607699
BanG Dream! 少女乐团派对！☆PICO,bang_dream_garupa_pico_2018,2018 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本、原作,故事／角色页、可见宣传,无,Q 版夸张事故与灾害喜剧、身体互换和变形笑点、轻度惊吓、食物与旅行危险玩笑、多乐队角色快速切换。,有精确条目,922,0.0170261066969353
紫罗兰永恒花园 外传 - 永远与自动手记人偶 -,violet_evergarden_gaiden_movie_2019,2019 剧场动画,主线,缺席,非恋爱,否,否,否,是,所核未见,是,范围内版本,故事／角色页、可见宣传,副线,贫困与童年分离、家庭契约、女校纪律、长期失联、战争创伤与离别。,有精确条目,925,0.009022625263350738
花开伊吕波,hanasaku_iroha_tv_2011,2011 TV,重要副线,缺席,非恋爱,否,否,否,否,所核未见,所核未见,—,—,并行,亲职失责与家庭冲突、职场权力压力、绑架与非自愿束缚、性骚扰／窥视、强迫脱衣与未成年角色性化玩笑、言语攻击和肢体冲突。,有精确条目,930,0.001770525950355841
请问您今天要来点兔子吗？？,gochuumon_wa_usagi_desu_ka_2nd_tv_2015,2015 TV,主线,缺席,非恋爱,否,否,否,是,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,无,校园日常、姐姐／妹妹式玩笑、制服与咖啡因笑料，以及朋友分开时的寂寞。,有精确条目,934,0.11544631306597672
剧场总集篇孤独摇滚！ Re:Re:,bocchi_the_rock_rere_movie_2024,2024 剧场动画,主线,主线,明显但未确认,否,否,是,是,所核未见,所核未见,范围内版本,可见宣传,无,严重社交焦虑、自我否定、文化祭公开表演压力、未经同意提交报名表后的边界协商、舞台事故、成年角色饮酒与总集篇剪辑压缩。,有精确条目,944,0.04401826484018265
