作品名称,女女关系层级,百合归档结论,女女恋爱位置,女女关系最高明确度,关系构成,身份依据类型,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,阅读层级,男性恋爱线,内容提示,Bangumi 条目状态,Bangumi Rank,Bangumi 百合标记比例,Bangumi 维基百合公共标签,Anime-Planet GL 标签,AniList Yuri 相关度,MyAnimeList Girls Love 标签
摇曳百合,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,所核未见,原作,出版渠道,正篇事实、强推断,无,中学生角色的性化玩笑与幻想、拒绝和逃开后仍被追逐求吻、洗浴情节、夸张肢体冲突与纠缠。,有可对应条目,606,0.13065626434144104,有,有,83,有
小魔女学园,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,校园排斥与嘲弄、魔法造成的非自愿情感变化、情绪操纵与抽取、幻想战斗和生命危险、梦境／身体异变画面、导弹危机。,有可对应条目,608,0.0538570191825762,有,无,0,无
向阳素描×☆☆☆,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页,正篇事实／强推断／读者解读,无,升学与离别、饮食和身体玩笑、男性关注及嫉妒话题、剧中小说的恋爱词汇。,有可对应条目,617,0.08448928121059268,有,无,46,无
草莓棉花糖 OVA 第1期,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,成年人吸烟饮酒、夸张肢体冲突与恶作剧、小学生角色的洗浴和身体笑料,有可对应条目,633,0.045711060948081264,有,无,10,无
淡岛百景,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,并列,校园排挤与集体孤立、性化流言和辱骂、以死亡表达绝望及自杀意念、丧亲与病逝、家庭语言虐待、职业竞争与权力不对等、公开受害经历的伦理争议。,有可对应条目,634,0.07520891364902507,有,无,58,无
草莓棉花糖 OVA 第2期,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实／强推断／读者解读,无,成年人吸烟与饮酒、夸张恶作剧和肢体冲突、小学生角色的身体与穿衣笑料、关于成长和分别的轻度感伤。,有可对应条目,636,0.0424721734036321,有,无,0,无
少女与战车,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,被迫选修；学校存续压力；军事装备竞技、炮击和车辆遇险；以男性恋爱为对象的喜剧台词,有可对应条目,642,0.08759446191185394,有,无,30,无
摇曳百合 3☆High!,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,所核未见,范围内版本、原作,HTML 元数据、故事／角色页、可见宣传,正篇事实＋强推断,无,中学生角色的约会、亲吻与女朋友语汇常处于喜剧、游戏或排练情境，欲望方向并不对称。,有可对应条目,645,0.1330197554092192,有,有,90,有
少女与战车 最终章 第3话,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、可见宣传,正篇事实＋强推断＋读者解读,无,战车炮击、爆炸、碰撞、翻覆与夜战；升学、毕业与学校延续压力；本篇为六部制系列中段,有可对应条目,652,0.04659949622166247,有,无,0,无
少女乐队的呐喊,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,校园霸凌与校方淡化、家庭冲突与离家、激烈争执及肢体冲突、酒精、职场种族歧视、丧亲与被父母遗弃、职业及财务压力。,有可对应条目,662,0.054441865372441445,无,无,67,无
灰羽联盟,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,副线,死亡与离别、创伤记忆、血与身体疼痛、疑似自杀及自伤意象、儿童／少女受险、嫉妒与信任破裂、宗教与赎罪意象,有可对应条目,665,0.025873746952045515,无,无,0,无
RWBY Volume 1-3: The Beginning,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,HTML 元数据、可见宣传,正篇事实／强推断／读者解读,并列,幻想枪械与近战暴力、角色死亡与肢体创伤、对 Faunus 的歧视、心理操控与嫁祸、前男性盟友的胁迫占有和暴力,有可对应条目,671,0.03298887122416534,无,无可对应条目,无可对应条目,无可对应条目
向阳素描×365 特别篇,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,自行车练习与楼梯险情、针线和衣物破损、未成年角色胸罩带笑料、教师要求学生脱下待修衣物的越界式喜剧,有可对应条目,675,0.08540630182421227,有,无,0,无
来玩游戏吧,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,副线,高频肢体暴力与羞辱式搞笑、欺骗和胁迫、涉及未成年人的身体／生殖器／性知识笑话、窥视裙底企图、围绕身体与性别的猜测及带偏见玩笑、排泄物与体液笑料,有可对应条目,681,0.024096385542168676,无,无,0,无
请问您今天要来点兔子吗？BLOOM,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,校园与升学压力、离别焦虑、咖啡因反应与轻度身体喜剧。,有可对应条目,697,0.1,无,无,0,无
向阳素描×☆☆☆ 特别篇,主线,文类内百合,局部,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,相邻版本、范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,入学受阻、返乡、轻度嫉妒式反应与烧烤烟雾误会,有可对应条目,698,0.07818352059925093,有,无,0,无
向山进发 第二季,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,是,范围内版本,故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,登山与天气风险、高原反应、恐高焦虑、朋友争吵、裙子恶作剧、温泉／泳装场面,有可对应条目,709,0.12142192828355895,无,无,0,无
别当欧尼酱了！,重要副线,文类外百合阅读,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,未经同意的用药与身体改变、青春期身体和如厕内容、未成年身体的性化喜剧、成年意识处于青春期身体。,有可对应条目,722,0.08141086286781651,有,无,0,无
魔法少女奈叶 The MOVIE 1st,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,无,儿童卷入魔法战斗、重伤与灾害、亲子控制与创伤、丧亲、替代身份、使魔契约和保护性用语可能被误读为恋爱,有可对应条目,740,0.07969924812030076,有,无,79,无
某科学的超电磁炮T,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实＋强推断＋读者解读,副线,未成年角色受伤、组织阴谋、人体／机械实验、战斗威胁，以及含身体接近意味的喜剧式追求。,有可对应条目,751,0.034184441875941295,无,无,0,无
向山进发 回忆的礼物,主线,文类内百合,重要副线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,副线,亲子失约、童年走失与分离、纪念物遗失、歉疚,有可对应条目,756,0.10825965063618719,有,无,0,无
小魔女学园,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,HTML 元数据、可见宣传,正篇事实／强推断／读者解读,无,校园嘲弄、地牢怪物、古龙危机与幻想战斗。,有可对应条目,759,0.01281711305577654,有,无,0,无
女高中生的无所事事,主线,文类内百合,局部,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,—,—,正篇事实／强推断／读者解读,副线,未成年角色的性化身体笑料、未经同意的身体接触、成人教师与学生的单向迷恋、性别与身体笑料,有可对应条目,764,0.02308592646405941,无,无,0,无
某科学的超电磁炮S,主线,文类内百合,重要副线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,所核未见,范围内版本,故事／角色页、可见宣传,正篇事实／强推断,副线,人体实验、克隆体死亡、恐怖袭击与严重受伤；越界式性追求和身体笑料；未成年角色受害。,有可对应条目,780,0.05105499070733574,无,无,0,无
西蒙,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,是,是,范围内版本,访谈／评论,正篇事实／强推断／读者解读,副线,战争与死亡、青少年被军事与宗教机构利用、被迫作出性别选择、悲伤与幸存者负担、亲密边界侵犯、姐妹关系中的性意味、年龄差与指导关系中的权力不对称。,有可对应条目,790,0.13657325292656972,有,有,88,有
食灵-零-,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,可见宣传,正篇事实＋强推断＋读者解读,副线,血腥战斗、死亡、严重身体伤害、精神操纵、家庭与继承压力、未成年人参与高风险除灵。,有可对应条目,793,0.11745406824146981,有,无,0,无
明日同学的水手服,主线,文类内百合,主线,潜在恋爱,多组异质关系,只有关系性质推断，无身份自述,所核未见,所核未见,—,—,正篇事实＋强推断＋读者解读,无,初中女生身体与服装的摄影／舞台凝视、意外露出笑话、共同淋浴与互相冲洗、戏谑脱衣、身体自卑、轻微运动碰撞。,有可对应条目,797,0.09037552589206876,无,无,66,无
青兰圆舞曲,主线,文类内百合,主线,明确女女恋爱欲望,多组异质关系,只有明确关系／欲望事实，无身份自述,所核未见,是,范围内版本,故事／角色页,正篇事实＋强推断＋读者解读,并列，后段具有明确结果,校园排斥与欺凌、占有和控制、自伤、相约自杀、死亡、药物依赖与烟草、持刀伤人、绝症、亲属间越界依恋。,有可对应条目,802,0.12077294685990338,有,无,79,有
向阳素描×SP,主线,文类内百合,缺席,非恋爱,多组异质关系,范围内没有性取向身份依据,所核未见,所核未见,范围内版本,出版渠道、故事／角色页、可见宣传,正篇事实／强推断／读者解读,无,校园日常、美术馆与泳池活动、共同留宿、家务喜剧。,有可对应条目,806,0.07313642756680731,有,无,20,无
