作品名称,年份,媒介,纳入范围,女女关系位置,百合归档结论,女女恋爱位置,女女关系最高明确度,已确认女女关系数,关系叙事位置分布,关系恋爱明确度分布,关系相互性分布,已确认女女关系画像,官方字面百合／GL,官方女女恋爱表述,官方来源层级,官方来源位置,身份依据,男性恋爱线,结论置信度,明确女女交往,主线明确女女交往,主线明确女女欲望,明确女女欲望,接受未确认方向,女女关系主线,女女关系主线且无男性恋爱线,主线非恋爱且无男性恋爱线,四条以上已确认女女关系,至少一条双向关系,官方字面百合／GL（快捷查询）,官方女女恋爱表述（快捷查询）,内容提示标识,Bangumi 标签,Bangumi 地区标签,Bangumi 改编来源,Bangumi Rank,Bangumi 百合标签比例,分类日期,报告地址
斩服少女,2013,TV 动画,2013 至 2014 年 TV 动画播出的第 1–24 话,主线,文类内百合,重要副线,潜在恋爱,3,主线 2、重要副线 1,潜在恋爱 1、非恋爱 2,双向 3,流子—真子（主线／非恋爱／双向）；流子—皋月（主线／非恋爱／双向）；真子—流子约会邀约（重要副线／潜在恋爱／双向）,所核未见,所核未见,,,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,frequent_nudity_and_sexualized_transformation；sexualization_of_minors；coercive_sexualized_bodily_contact；incestuous_family_abuse；parental_abuse_and_control；human_experimentation；mind_control_and_loss_of_bodily_autonomy；school_bullying_and_class_oppression；severe_violence_and_blood；dismemberment_and_decapitation_imagery；body_horror；character_death,战斗,日本,原创,186,0.019056328628982426,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/kill_la_kill_tv_2013/
电脑线圈,2007,TV 动画,2007 年 TV 动画正篇第 1–26 话,主线,文类内百合,缺席,非恋爱,1,主线 1,非恋爱 1,双向 1,小此木优子（ヤサコ）与天泽勇子（イサコ）（主线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,副线,高,否,否,否,否,否,是,否,否,否,是,否,否,child_death_bereavement_grief_and_survivor_guilt；traffic_accident；school_bullying_ostracism_and_rumour_spreading；children_manipulated_and_placed_in_danger_by_adults；cyberbody_separation_loss_of_consciousness_and_coma；horror_pursuit_and_identity_distortion；virtual_pet_injury_apparent_death_and_separation,科幻,日本,原创,187,0.008463673911571535,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/dennou_coil_tv_2007/
剧场版 魔法少女小圆 [后篇] 永远的物语,2012,剧场动画,2012 年剧场版《劇場版 魔法少女まどか☆マギカ [後編] 永遠の物語》单部正片,主线,文类内百合,主线,潜在恋爱,3,主线 1、重要副线 2,潜在恋爱 1、非恋爱 2,双向 2、相互性未确认 1,晓美焰—鹿目圆（主线／潜在恋爱／相互性未确认）；佐仓杏子—美树沙耶香（重要副线／非恋爱／双向）；鹿目圆与魔法少女群体（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,死亡、战斗暴力和身体／灵魂异化；绝望、魔女化与自我牺牲；时间循环、记忆重置和世界规则改写；焰对圆的强烈执着与保护性语言；沙耶香与男性对象有关的单方恋爱线；心理恐怖和悲剧性结局,战斗,日本,原创,189,0.046848820724320145,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/mahou_shoujo_madoka_magica_eternal_movie_2012/
超时空辉夜姬！,2026,WEB 动画电影,2026 年 Netflix 原创动画长片，片长 140 分钟；官方电影、发行与流媒体页面，仅用作媒介类型、剧情简介和宣传标签的旁证；各数据库现行的类型、文类与社区标签字段，仅用作外部标签证据,主线,文类内百合,主线,明确欲望,1,主线 1,明确欲望 1,双向 1,辉夜（かぐや／八千代）—彩叶（彩葉）（主线／明确欲望／双向）,所核未见,所核未见,,,只有明确关系事实,无,高,否,否,是,是,是,是,是,否,否,是,否,否,family_conflict_and_estrangement；overwork_and_burnout；stylized_combat；fantastical_death_and_separation；time_displacement；ai_and_identity_continuity,奇幻、科幻、音乐,日本,原创,191,0.14970913253743898,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/chou_kaguya_hime_web_film_2026/
琉璃的宝石,2025,TV 动画,2025 年播出的 TV 动画第 1–13 话,主线,文类内百合,缺席,非恋爱,3,主线 1、重要副线 2,非恋爱 3,双向 3,谷川瑠璃—荒砥凪（主线／非恋爱／双向）；谷川瑠璃与濑户硝子的共同采集和友情形成（重要副线／非恋爱／双向）；瑠璃、濑户、凪与伊万里的女性知识共同体（重要副线／非恋爱／双向）,所核未见,所核未见,,,范围内无依据,无,高,否,否,否,否,否,是,是,是,否,是,否,否,"outdoor fieldwork around steep slopes, rivers, coasts and abandoned facilities；hammer sampling, acid and laboratory procedures；brief hot-spring bathing scenes；no confirmed female-female romance in the included TV episodes",日常,日本,漫画改,194,0.018887389889691294,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/ruri_no_houseki_tv_2025/
Heart Catch 光之美少女！,2010,TV 动画,2010–2011 年 TV 动画正式播出的第 1–49 话,主线,文类内百合,局部,明确欲望,3,主线 1、局部 2,明确欲望 1、非恋爱 2,双向 2、单向 1,花咲蕾、来海绘里香、明堂院树、月影百合（主线／非恋爱／双向）；花咲蕾—明堂院树（局部／明确欲望／单向）；奈绪美—明堂院树（局部／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,副线,中,否,否,否,是,是,是,否,否,否,是,否,否,fantasy_combat_and_injury；character_death_and_bereavement；family_loss_and_parent_disappearance；villains_exploiting_emotional_distress；mistaken_gender_romance_joke；child_and_teen_characters_in_peril,,日本,原创,201,0.01910027645136969,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/heartcatch_precure_tv_2010/
剧场版 吹响吧！上低音号～誓言的终章～,2019,剧场动画,2019 年 4 月 19 日在日本上映的单部剧场版正片,主线,文类内百合,重要副线,潜在恋爱,4,主线 1、重要副线 3,潜在恋爱 1、非恋爱 3,双向 1、相互性未确认 3,久美子—丽奈（重要副线／潜在恋爱／相互性未确认）；久美子—奏（主线／非恋爱／双向）；美玲—五月（重要副线／非恋爱／相互性未确认）；奏—夏纪（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,只有关系推断,副线,中,否,否,否,否,是,是,否,否,是,是,否,否,a direct heterosexual confession at the opening；a later decision to pause or distance the heterosexual relationship；school club selection conflict and accusations of favoritism；emotional isolation and crying；competition pressure and disappointment；interpersonal conflict among first-year students；separation anxiety and fear of losing important relationships,校园、音乐,日本,小说改,202,0.03209094833789034,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hibike_euphonium_chikai_no_finale_movie_2019/
剧场版 吹响吧！上低音号～想要传达的旋律～,2017,剧场动画,2017 年 9 月 30 日上映的剧场版正片,主线,文类内百合,主线,潜在恋爱,4,主线 1、重要副线 2、局部 1,潜在恋爱 1、非恋爱 3,双向 2、相互性未确认 2,黄前久美子与田中明日香的前后辈关系（主线／潜在恋爱／相互性未确认）；黄前久美子与高坂丽奈的同伴关系（重要副线／非恋爱／双向）；北宇治吹奏乐部少女群体与明日香的支撑关系（重要副线／非恋爱／双向）；镰谷希美与铠塚霙的重建关系（局部／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,可见作品宣传,只有关系推断,副线,高,否,否,否,否,是,是,否,否,是,是,否,否,毕业与离别压力；家庭冲突、退部威胁和升学压力；前后辈权力差异与情感依赖；‘恋爱咨询’等玩笑与音乐仰慕容易被混读为恋爱确认；局部异性恋爱关系，不构成电影主轴,校园、音乐,日本,小说改,203,0.03315126687907753,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/hibike_euphonium_todoketai_melody_movie_2017/
悠哉日常大王 Repeat,2015,TV 动画,2015 年 TV 动画《Non Non Biyori Repeat》正式播出的第 1–12 话,主线,文类内百合,重要副线,潜在恋爱,5,主线 1、重要副线 4,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,旭丘分校女孩共同体（主线／非恋爱／双向）；萤—小鞠（重要副线／潜在恋爱／相互性未确认）；小鞠—夏海姐妹（重要副线／非恋爱／双向）；莲华—加贺山枫（重要副线／非恋爱／双向）；夏海—萤（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,出版载体、剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,主要角色包含小学生与中学生，含泳装、泳池清扫和身体成长相关的喜剧场景；第2话含夜间迷路、黑暗恐惧和两人共同保守的小秘密；萤对小鞠的对象固定倾慕以玩偶、礼物、害羞和喜剧节奏呈现；本季没有女女交往确认；第11话含未成年人接触饮酒及醉态照护的喜剧情节,日常,日本,漫画改,204,0.03523194362889019,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/non_non_biyori_repeat_tv_2015/
向山进发 Next Summit,2022,TV 动画,2022 年 TV 动画《Next Summit》正式播出的第 1–12 话,主线,文类内百合,重要副线,潜在恋爱,4,主线 1、重要副线 2、局部 1,潜在恋爱 1、非恋爱 3,双向 3、相互性未确认 1,雪村葵与仓上日向的幼驯染登山关系（主线／非恋爱／双向）；日向对葵的吃醋与分离不安（潜在恋爱读法）（重要副线／潜在恋爱／相互性未确认）；葵、日向、枫、心夏与穗香的登山朋友共同体（重要副线／非恋爱／双向）；雪村葵与光的同事、出游与安慰关系（局部／非恋爱／双向）,所核未见,所核未见,当前版本,剧情／角色页、可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,登山、恶劣天气和高山反应等户外安全风险；葵童年坠落造成的恐高与再次登山焦虑；第4话的吃醋和分离不安仅写到关系方向，未确认女女交往；范围内出现男朋友玩笑和童年男性好感转述，但没有持续男性恋爱线,日常,日本,漫画改,205,0.10242118097892353,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/yama_no_susume_next_summit_tv_2022/
悠哉日常大王,2013,TV 动画,2013 年 TV 动画正式播出的第 1–12 话,主线,文类内百合,重要副线,明确欲望,3,主线 1、重要副线 2,明确欲望 1、非恋爱 2,双向 2、单向 1,四人日常共同体（主线／非恋爱／双向）；萤—小鞠（重要副线／明确欲望／单向）；莲华—穗乃香（重要副线／非恋爱／双向）,所核未见,所核未见,,,只有明确关系事实,无,高,否,否,否,是,是,是,是,否,否,是,否,否,primary_and_middle_school_characters_in_swimsuit_and_body_size_comedy；elementary_school_character_one_sided_crush_played_partly_for_comedy；childhood_sibling_marriage_statement_in_old_home_video_played_for_comedy,日常,日本,漫画改,228,0.03563386825833661,2026-07-29,https://l-m-sherlock.github.io/yuri-classification-archive/works/non_non_biyori_tv_2013/
飞跃巅峰2！,2004,OVA,2004-11-26 至 2006-08-25 分卷发行的 OVA 正篇第 1–6 话；官方页面所列 6 话标题与剧情，作为版本边界和文本摘要依据,主线,文类内百合,主线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 1、相互性未确认 1,诺诺—拉璐可（主线／潜在恋爱／双向）；诺诺—奇科（重要副线／非恋爱／相互性未确认）,所核未见,所核未见,当前版本,剧情／角色页,只有关系推断,副线,高,否,否,否,否,是,是,否,否,否,是,否,否,宇宙战争、机甲战斗与末日威胁；组织排挤、能力封锁与拘禁状态；终局高风险战斗与分离主题,科幻,日本,原创,229,0.04280410569993448,2026-08-07,https://l-m-sherlock.github.io/yuri-classification-archive/works/top_wo_nerae_2_ova_2004/
剧场版 悠哉日常大王 Vacation,2018,剧场动画,2018 年 8 月 25 日上映的《劇場版 のんのんびより ばけーしょん》正片,主线,文类内百合,局部,潜在恋爱,5,主线 1、重要副线 3、局部 1,潜在恋爱 1、非恋爱 4,双向 4、相互性未确认 1,旭丘分校少女共同体（主线／非恋爱／双向）；越谷夏海—新里葵（重要副线／非恋爱／双向）；宫内莲华—新里葵（重要副线／非恋爱／双向）；一条萤—越谷小鞠（局部／潜在恋爱／相互性未确认）；越谷小鞠—越谷夏海姐妹（重要副线／非恋爱／双向）,所核未见,所核未见,当前版本,可见作品宣传,只有关系推断,无,高,否,否,否,否,是,是,是,否,是,是,否,否,主要角色包含小学生和中学生；有海上活动、浮潜、皮艇和体力不适场景；夏海因旅程结束而哭泣；含离别情绪；没有明确女女恋爱关系或角色性取向身份明示；萤—小鞠的亲近读法属于潜在关系或读者解读,日常,日本,漫画改,232,0.03159126365054602,2026-08-01,https://l-m-sherlock.github.io/yuri-classification-archive/works/non_non_biyori_vacation_movie_2018/
百变之星 不死鸟传说 ～蕾拉・汉密尔顿物语～,2006,OVA,2006年1月27日通常版DVD（MNPS-29）所收录、相当于TV第53话的《カレイドスター Legend of phoenix 〜レイラ・ハミルトン物語〜》主正片；字幕覆盖只指约50分钟的正片文本，不含映像特典或评论音轨,主线,文类外百合阅读,主线,潜在恋爱,2,主线 1、重要副线 1,潜在恋爱 1、非恋爱 1,双向 1、不适用 1,そら—レイラ（主线／潜在恋爱／双向）；レイラ—母亲（重要副线／非恋爱／不适用）,所核未见,是,原作、当前版本,出版载体、剧情／角色页,只有关系推断,副线,中,否,否,否,否,是,是,否,否,否,是,否,是,parental_death_and_grief,,日本,原创,252,0.052463211772232884,2026-08-09,https://l-m-sherlock.github.io/yuri-classification-archive/works/kaleido_star_legend_phoenix_ova_2006/
